,0
0,0.3333333333333333
1,0.2222222222222222
2,0.3333333333333333
3,0.1111111111111111
4,0.0
5,0.1111111111111111
6,0.2222222222222222
7,0.1111111111111111
8,0.1111111111111111
9,0.2222222222222222
10,0.2222222222222222
11,0.4444444444444444
12,0.0
13,0.2222222222222222
14,0.2222222222222222
15,0.3333333333333333
16,0.1111111111111111
17,0.1111111111111111
18,0.2222222222222222
19,0.2222222222222222
20,0.2222222222222222
21,0.1111111111111111
22,0.2222222222222222
23,0.1111111111111111
24,0.2222222222222222
25,0.3333333333333333
26,0.1111111111111111
27,0.2222222222222222
28,0.0
29,0.2222222222222222
30,0.3333333333333333
31,0.1111111111111111
32,0.2222222222222222
33,0.3333333333333333
34,0.4444444444444444
35,0.2222222222222222
36,0.2222222222222222
37,0.0
38,0.2222222222222222
39,0.2222222222222222
40,0.5555555555555556
41,0.4444444444444444
42,0.3333333333333333
43,0.0
44,0.1111111111111111
45,0.2222222222222222
46,0.2222222222222222
47,0.3333333333333333
48,0.0
49,0.2222222222222222
50,0.2222222222222222
51,0.2222222222222222
52,0.3333333333333333
53,0.1111111111111111
54,0.4444444444444444
55,0.2222222222222222
56,0.2222222222222222
57,0.1111111111111111
58,0.1111111111111111
59,0.0
60,0.3333333333333333
61,0.1111111111111111
62,0.3333333333333333
63,0.5555555555555556
64,0.3333333333333333
65,0.2222222222222222
66,0.3333333333333333
67,0.0
68,0.3333333333333333
69,0.3333333333333333
70,0.2222222222222222
71,0.4444444444444444
72,0.1111111111111111
73,0.2222222222222222
74,0.0
75,0.1111111111111111
76,0.1111111111111111
77,0.3333333333333333
78,0.2222222222222222
79,0.3333333333333333
80,0.3333333333333333
81,0.3333333333333333
82,0.0
83,0.0
84,0.1111111111111111
85,0.1111111111111111
86,0.2222222222222222
87,0.1111111111111111
88,0.4444444444444444
89,0.1111111111111111
90,0.0
91,0.1111111111111111
92,0.3333333333333333
93,0.2222222222222222
94,0.2222222222222222
95,0.2222222222222222
96,0.0
97,0.2222222222222222
98,0.2222222222222222
99,0.2222222222222222
